kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd
kmer1	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25710	304.285809291802	NA	NA	25710	0.47401042522551
kmer10	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25708	304.285809291802	NA	NA	25708	0.47401042522551
kmer100	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	23318	304.284727619696	NA	NA	23318	0.47401042522551
kmer1000	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083517	55332.5551871579	991957	22884.1710376128	3062550	9128.92215550601	991959.5	16857.4496380117
kmer1001	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	22730	304.284727619696	NA	NA	22730	0.47401042522551
kmer1002	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24215	304.284727619696	NA	NA	24215	0.47401042522551
kmer1003	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22178	304.284727619696	NA	NA	22178	0.47401042522551	NA	NA
kmer1004	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24850	304.284727619696	NA	NA	24850	0.47401042522551	NA	NA
kmer1005	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26354	304.285809291802	NA	NA	26354	0.47401042522551
kmer1006	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	22272	304.284727619696	NA	NA	22272	0.47401042522551
kmer1007	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25047	304.284727619696	NA	NA	25047	0.47401042522551
kmer1008	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24281	304.284727619696	NA	NA	24281	0.47401042522551
kmer1009	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24150	304.284727619696	NA	NA	24150	0.47401042522551	NA	NA
kmer101	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22553	304.284727619696	NA	NA	22553	0.47401042522551	NA	NA
