kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd
kmer1000	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083517	55332.5551871579	991957	22884.1710376128	3062550	9128.92215550601	991959.5	16857.4496380117
kmer1051	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083511	55332.5551871579	991963	22884.1710376128	3062544	9128.92215550601	991965.5	16857.4496380117
kmer1052	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083511	55332.5551871579	991963	22884.1710376128	3062544	9128.92215550601	991965.5	16857.4496380117
kmer1065	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083577	55332.5551871579	991897	22884.1710376128	3062610	9128.92215550601	991899.5	16857.4496380117
kmer1066	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083577	55332.5551871579	991897	22884.1710376128	3062610	9128.92215550601	991899.5	16857.4496380117
kmer1199	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083597	55332.5551871579	991876	22884.4489797564	3062630	9128.92215550601	991879.5	16857.4496380117
kmer1280	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083453	55332.5551871579	992021	22884.1710376128	3062486	9128.92215550601	992023.5	16857.4496380117
kmer1281	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083453	55332.5551871579	992021	22884.1710376128	3062486	9128.92215550601	992023.5	16857.4496380117
kmer1349	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083498	55332.5551871579	991976	22884.1710376128	3062531	9128.92215550601	991978.5	16857.4496380117
kmer1350	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083498	55332.5551871579	991976	22884.1710376128	3062531	9128.92215550601	991978.5	16857.4496380117
kmer1367	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083477	55332.5551871579	991997	22884.1710376128	3062510	9128.92215550601	991999.5	16857.4496380117
kmer1368	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083477	55332.5551871579	991997	22884.1710376128	3062510	9128.92215550601	991999.5	16857.4496380117
kmer1453	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083492	55332.5551871579	991982	22884.1710376128	3062525	9128.92215550601	991984.5	16857.4496380117
kmer1454	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083492	55332.5551871579	991982	22884.1710376128	3062525	9128.92215550601	991984.5	16857.4496380117
kmer1458	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083507	55332.5551871579	991967	22884.1710376128	3062540	9128.92215550601	991969.5	16857.4496380117
kmer1459	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083507	55332.5551871579	991967	22884.1710376128	3062540	9128.92215550601	991969.5	16857.4496380117
kmer1656	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083459	55332.5551871579	992015	22884.1710376128	3062492	9128.92215550601	992017.5	16857.4496380117
kmer1657	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083459	55332.5551871579	992015	22884.1710376128	3062492	9128.92215550601	992017.5	16857.4496380117
kmer166	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083537	55332.5551871579	991937	22884.1710376128	3062570	9128.92215550601	991939.5	16857.4496380117
kmer178	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083516	55332.5551871579	991958	22884.1710376128	3062549	9128.92215550601	991960.5	16857.4496380117
kmer179	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083516	55332.5551871579	991958	22884.1710376128	3062549	9128.92215550601	991960.5	16857.4496380117
kmer1803	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083515	55332.5551871579	991959	22884.1710376128	3062548	9128.92215550601	991961.5	16857.4496380117
kmer1804	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083515	55332.5551871579	991959	22884.1710376128	3062548	9128.92215550601	991961.5	16857.4496380117
kmer1882	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083566	55332.5551871579	991908	22884.1710376128	3062599	9128.92215550601	991910.5	16857.4496380117
kmer1883	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083566	55332.5551871579	991908	22884.1710376128	3062599	9128.92215550601	991910.5	16857.4496380117
kmer1917	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083533	55332.5551871579	991941	22884.1710376128	3062566	9128.92215550601	991943.5	16857.4496380117
kmer1991	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083576	55332.5551871579	991898	22884.1710376128	3062609	9128.92215550601	991900.5	16857.4496380117
kmer1992	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083576	55332.5551871579	991898	22884.1710376128	3062609	9128.92215550601	991900.5	16857.4496380117
kmer2034	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083596	55332.5551871579	991877	22884.4688704619	3062629	9128.92215550601	991880.5	16857.4496380117
kmer2112	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083491	55332.5551871579	991983	22884.1710376128	3062524	9128.92215550601	991985.5	16857.4496380117
kmer2113	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083491	55332.5551871579	991983	22884.1710376128	3062524	9128.92215550601	991985.5	16857.4496380117
kmer2297	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083575	55332.5551871579	991899	22884.1710376128	3062608	9128.92215550601	991901.5	16857.4496380117
kmer2298	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083575	55332.5551871579	991899	22884.1710376128	3062608	9128.92215550601	991901.5	16857.4496380117
kmer2333	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083490	55332.5551871579	991984	22884.1710376128	3062523	9128.92215550601	991986.5	16857.4496380117
kmer2334	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083490	55332.5551871579	991984	22884.1710376128	3062523	9128.92215550601	991986.5	16857.4496380117
kmer2470	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083580	55332.5551871579	991894	22884.1710376128	3062613	9128.92215550601	991896.5	16857.4496380117
kmer2471	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083580	55332.5551871579	991894	22884.1710376128	3062613	9128.92215550601	991896.5	16857.4496380117
kmer2601	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083461	55332.5551871579	992013	22884.1710376128	3062494	9128.92215550601	992015.5	16857.4496380117
kmer2618	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083568	55332.5551871579	991906	22884.1710376128	3062601	9128.92215550601	991908.5	16857.4496380117
kmer2619	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083568	55332.5551871579	991906	22884.1710376128	3062601	9128.92215550601	991908.5	16857.4496380117
kmer2621	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083560	55332.5551871579	991914	22884.1710376128	3062593	9128.92215550601	991916.5	16857.4496380117
kmer2622	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083560	55332.5551871579	991914	22884.1710376128	3062593	9128.92215550601	991916.5	16857.4496380117
kmer2642	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083550	55332.5551871579	991924	22884.1710376128	3062583	9128.92215550601	991926.5	16857.4496380117
kmer2643	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083550	55332.5551871579	991924	22884.1710376128	3062583	9128.92215550601	991926.5	16857.4496380117
kmer2645	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083442	55332.5551871579	992032	22884.1710376128	3062475	9128.92215550601	992034.5	16857.4496380117
kmer2646	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083442	55332.5551871579	992032	22884.1710376128	3062475	9128.92215550601	992034.5	16857.4496380117
kmer2659	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083464	55332.5551871579	992010	22884.1710376128	3062497	9128.92215550601	992012.5	16857.4496380117
kmer2697	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083521	55332.5551871579	991953	22884.1710376128	3062554	9128.92215550601	991955.5	16857.4496380117
kmer2750	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083599	55332.5551871579	991874	22884.4092134235	3062632	9128.92215550601	991877.5	16857.4496380117
kmer2777	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083485	55332.5551871579	991989	22884.1710376128	3062518	9128.92215550601	991991.5	16857.4496380117
kmer2802	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083581	55332.5551871579	991893	22884.1710376128	3062614	9128.92215550601	991895.5	16857.4496380117
kmer2803	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083581	55332.5551871579	991893	22884.1710376128	3062614	9128.92215550601	991895.5	16857.4496380117
kmer2840	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083429	55332.5551871579	992045	22884.1710376128	3062462	9128.92215550601	992047.5	16857.4496380117
kmer2972	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083571	55332.5551871579	991903	22884.1710376128	3062604	9128.92215550601	991905.5	16857.4496380117
kmer2973	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083571	55332.5551871579	991903	22884.1710376128	3062604	9128.92215550601	991905.5	16857.4496380117
kmer2977	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083535	55332.5551871579	991939	22884.1710376128	3062568	9128.92215550601	991941.5	16857.4496380117
kmer2989	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083563	55332.5551871579	991911	22884.1710376128	3062596	9128.92215550601	991913.5	16857.4496380117
kmer3091	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083451	55332.5551871579	992023	22884.1710376128	3062484	9128.92215550601	992025.5	16857.4496380117
kmer3092	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083451	55332.5551871579	992023	22884.1710376128	3062484	9128.92215550601	992025.5	16857.4496380117
kmer3100	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083475	55332.5551871579	991999	22884.1710376128	3062508	9128.92215550601	992001.5	16857.4496380117
kmer3101	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083475	55332.5551871579	991999	22884.1710376128	3062508	9128.92215550601	992001.5	16857.4496380117
kmer3239	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083462	55332.5551871579	992012	22884.1710376128	3062495	9128.92215550601	992014.5	16857.4496380117
kmer3277	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083569	55332.5551871579	991905	22884.1710376128	3062602	9128.92215550601	991907.5	16857.4496380117
kmer3279	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083561	55332.5551871579	991913	22884.1710376128	3062594	9128.92215550601	991915.5	16857.4496380117
kmer3280	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083561	55332.5551871579	991913	22884.1710376128	3062594	9128.92215550601	991915.5	16857.4496380117
kmer3294	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083473	55332.5551871579	992001	22884.1710376128	3062506	9128.92215550601	992003.5	16857.4496380117
kmer3295	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083473	55332.5551871579	992001	22884.1710376128	3062506	9128.92215550601	992003.5	16857.4496380117
kmer3337	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083551	55332.5551871579	991923	22884.1710376128	3062584	9128.92215550601	991925.5	16857.4496380117
kmer3344	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083443	55332.5551871579	992031	22884.1710376128	3062476	9128.92215550601	992033.5	16857.4496380117
kmer3345	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083443	55332.5551871579	992031	22884.1710376128	3062476	9128.92215550601	992033.5	16857.4496380117
