kmer	event_sum	flk_behaviour	my0_intactk_sum	my1_intactk_sum	otherk	my0_otherk_sum	my1_otherk_sum	event
0	0	0	0	0	0	0	0	0
kmer99	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842088 1868788 1899702 1974277 2155059 2399108  | StartL_sd: 153501  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363328 1847921 1882156 1981206 2206568 2294720  | StartL_sd: 174192  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807843 1816761 1816803 1849547 1817834 2297874  | StartL_sd: 96989  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313472 314524 315572 315264 315573 316632	StartL_stat: 2207644 2207644 2207644 2207644 2207644 2207644  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300392 300392 300392 300392 300392 300392	inversion
kmer98	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842055 1868755 1899669 1974263 2155092 2399075  | StartL_sd: 153528  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363361 1847888 1882124 1981198 2206601 2294753  | StartL_sd: 174221  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807810 1816728 1816770 1849520 1817802 2297907  | StartL_sd: 97007  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313505 314557 315605 315297 315606 316665	StartL_stat: 2207677 2207677 2207677 2207677 2207677 2207677  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300425 300425 300425 300425 300425 300425	inversion
kmer95	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844299 1870998 1901913 1975103 2152848 2401319  | StartL_sd: 152199  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361117 1850132 1884368 1982063 2204357 2292509  | StartL_sd: 172166  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807992 2131388 2132440 2110577 2133482 2322968  | StartL_sd: 89681  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313498 314550 315598 315290 315599 316658	StartL_stat: 1907164 1907164 1907164 1907164 1907164 1907164  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300418 300418 300418 300418 300418 300418	inversion
kmer92	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842112 1868812 1899726 1974288 2155035 2399132  | StartL_sd: 153482  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363304 1847945 1882180 1981213 2206544 2294696  | StartL_sd: 174170  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807867 1816785 1816827 1849567 1817858 2297850  | StartL_sd: 96976  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313448 314500 315548 315240 315549 316608	StartL_stat: 2207620 2207620 2207620 2207620 2207620 2207620  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300368 300368 300368 300368 300368 300368	inversion
kmer91	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844249 1870948 1901863 1975081 2152898 2401269  | StartL_sd: 152239  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361167 1850082 1884318 1982050 2204407 2292559  | StartL_sd: 172210  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807942 2131438 2132490 2110619 2133532 2323018  | StartL_sd: 89707  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313548 314600 315648 315340 315649 316708	StartL_stat: 1907114 1907114 1907114 1907114 1907114 1907114  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300468 300468 300468 300468 300468 300468	inversion
kmer90	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842106 1868806 1899720 1974285 2155041 2399126  | StartL_sd: 153487  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363310 1847939 1882174 1981211 2206550 2294702  | StartL_sd: 174176  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807861 1816779 1816821 1849562 1817852 2297856  | StartL_sd: 96979  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313454 314506 315554 315246 315555 316614	StartL_stat: 2207626 2207626 2207626 2207626 2207626 2207626  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300374 300374 300374 300374 300374 300374	inversion
kmer9	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842047 1868747 1899661 1974259 2155100 2399067  | StartL_sd: 153534  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363369 1847880 1882116 1981196 2206609 2294761  | StartL_sd: 174228  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807802 1816720 1816762 1849513 1817794 2297915  | StartL_sd: 97011  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313513 314565 315613 315305 315614 316673	StartL_stat: 2207685 2207685 2207685 2207685 2207685 2207685  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300433 300433 300433 300433 300433 300433	inversion
kmer89	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842040 1868740 1899654 1974256 2155107 2399060  | StartL_sd: 153540  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363376 1847873 1882108 1981194 2206616 2294768  | StartL_sd: 174234  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807795 1816713 1816755 1849507 1817786 2297922  | StartL_sd: 97015  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313520 314572 315620 315312 315621 316680	StartL_stat: 2207692 2207692 2207692 2207692 2207692 2207692  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300440 300440 300440 300440 300440 300440	inversion
kmer87	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842077 1868777 1899691 1974272 2155070 2399097  | StartL_sd: 153510  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363339 1847910 1882146 1981204 2206579 2294731  | StartL_sd: 174201  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807832 1816750 1816792 1849538 1817824 2297885  | StartL_sd: 96995  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313483 314535 315583 315275 315584 316643	StartL_stat: 2207655 2207655 2207655 2207655 2207655 2207655  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300403 300403 300403 300403 300403 300403	inversion
kmer85	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844324 1871023 1901938 1975114 2152823 2401344  | StartL_sd: 152179  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361092 1850157 1884392 1982069 2204332 2292484  | StartL_sd: 172144  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1808017 2131362 2132415 2110557 2133456 2322943  | StartL_sd: 89667  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313473 314525 315573 315265 315574 316633	StartL_stat: 1907189 1907189 1907189 1907189 1907189 1907189  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300393 300393 300393 300393 300393 300393	inversion
kmer84	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842076 1868776 1899690 1974272 2155071 2399096  | StartL_sd: 153511  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363340 1847909 1882144 1981203 2206580 2294732  | StartL_sd: 174202  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807831 1816749 1816791 1849537 1817822 2297886  | StartL_sd: 96995  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313484 314536 315584 315276 315585 316644	StartL_stat: 2207656 2207656 2207656 2207656 2207656 2207656  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300404 300404 300404 300404 300404 300404	inversion
kmer83	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844235 1870934 1901849 1975075 2152912 2401255  | StartL_sd: 152250  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361181 1850068 1884304 1982046 2204421 2292573  | StartL_sd: 172223  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807928 2131452 2132504 2110630 2133546 2323032  | StartL_sd: 89715  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313562 314614 315662 315354 315663 316722	StartL_stat: 1907100 1907100 1907100 1907100 1907100 1907100  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300482 300482 300482 300482 300482 300482	inversion
kmer80	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844304 1871003 1901918 1975105 2152843 2401324  | StartL_sd: 152195  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361112 1850137 1884372 1982064 2204352 2292504  | StartL_sd: 172162  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807997 2131382 2132435 2110573 2133476 2322963  | StartL_sd: 89678  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313493 314545 315593 315285 315594 316653	StartL_stat: 1907169 1907169 1907169 1907169 1907169 1907169  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300413 300413 300413 300413 300413 300413	inversion
kmer8	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842065 1868765 1899679 1974267 2155082 2399085  | StartL_sd: 153520  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363351 1847898 1882134 1981200 2206591 2294743  | StartL_sd: 174212  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807820 1816738 1816780 1849528 1817812 2297897  | StartL_sd: 97001  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313495 314547 315595 315287 315596 316655	StartL_stat: 2207667 2207667 2207667 2207667 2207667 2207667  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300415 300415 300415 300415 300415 300415	inversion
kmer79	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842091 1868791 1899705 1974278 2155056 2399111  | StartL_sd: 153499  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363325 1847924 1882160 1981207 2206565 2294717  | StartL_sd: 174189  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807846 1816764 1816806 1849550 1817838 2297871  | StartL_sd: 96987  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313469 314521 315569 315261 315570 316629	StartL_stat: 2207641 2207641 2207641 2207641 2207641 2207641  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300389 300389 300389 300389 300389 300389	inversion
kmer78	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842052 1868752 1899666 1974261 2155095 2399072  | StartL_sd: 153530  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363364 1847885 1882120 1981197 2206604 2294756  | StartL_sd: 174223  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807807 1816725 1816767 1849517 1817798 2297910  | StartL_sd: 97008  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313508 314560 315608 315300 315609 316668	StartL_stat: 2207680 2207680 2207680 2207680 2207680 2207680  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300428 300428 300428 300428 300428 300428	inversion
kmer76	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844308 1871007 1901922 1975107 2152839 2401328  | StartL_sd: 152192  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361108 1850141 1884376 1982065 2204348 2292500  | StartL_sd: 172158  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1808001 2131378 2132431 2110570 2133472 2322959  | StartL_sd: 89676  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313489 314541 315589 315281 315590 316649	StartL_stat: 1907173 1907173 1907173 1907173 1907173 1907173  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300409 300409 300409 300409 300409 300409	inversion
kmer75	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842092 1868792 1899706 1974279 2155055 2399112  | StartL_sd: 153498  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363324 1847925 1882160 1981207 2206564 2294716  | StartL_sd: 174188  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807847 1816765 1816807 1849550 1817838 2297870  | StartL_sd: 96987  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313468 314520 315568 315260 315569 316628	StartL_stat: 2207640 2207640 2207640 2207640 2207640 2207640  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300388 300388 300388 300388 300388 300388	inversion
