sample	prn_hit_count
C505	1
C549	1
C569	1
C571	1
C734	1
C742	1
C756	1
C757	1
C871	1
C934	1
C958	1
C975	1
D175	1
D236	1
D321	1
D322	1
D422	1
D502	1
D521	1
D665	1
D717	1
D735	1
D799	1
D800	1
D869	1
D879	1
D919	1
D925	1
E024	1
E025	1
E087	1
E140	1
E150	1
E153	1
E191	1
E194	1
E198	1
E365	1
E368	1
E530	1
E537	1
E541	1
E555	1
E587	1
E602	1
E809	1
E898	1
E945	1
E976	1
F011	1
F013	1
F034	1
F501	1
F569	1
F578	1
F580	1
F657	1
F658	1
F670	1
F684	1
F687	1
F778	1
F934	1
F948	1
F954	1
G057	1
G085	1
G102	1
G807	1
G965	1
H034	1
H320	1
H348	1
H361	1
H378	2
H520	1
H533	1
H540	2
H541	1
H559	2
H561	1
H564	1
H579	1
H624	1
H637	1
H639	1
H640	1
H642	1
H665	2
H672	1
H677	1
H681	2
H682	1
H697	1
H698	1
H703	1
H706	1
H707	1
H709	1
H729	1
H754	1
H765	1
H775	2
H782	1
H784	1
H787	1
H800	1
H806	1
H810	2
H811	2
H812	2
H813	2
H814	1
H834	1
H849	1
H851	2
H852	1
H853	1
H864	2
H866	2
H876	1
H877	1
H878	1
H883	1
H902	1
H910	1
H911	2
H915	1
H920	1
I069	2
I072	2
I080	2
I089	2
I106	1
I110	1
I111	2
I112	2
I113	1
I120	1
I127	1
I136	1
I150	2
I182	2
I187	2
I188	1
I223	1
I228	2
I238	1
I257	1
I259	1
I263	1
I270	1
I271	1
I273	2
I289	1
I318	2
I323	2
I331	1
I344	1
I350	2
I351	1
I372	2
I373	2
I375	1
I379	2
I382	2
I385	2
I386	2
I387	2
I420	1
I439	2
I452	2
I461	2
I462	2
I464	2
I468	1
I476	2
I480	1
I483	2
I496	2
I498	2
I518	1
I521	2
I538	1
I539	1
I598	1
I602	2
I623	1
I646	1
I656	1
I669	1
I692	1
I705	1
I707	1
I728	2
I735	2
I743	2
I751	1
I752	1
I754	2
I755	2
I762	2
I763	1
I859	2
I892	1
I896	1
I915	1
I945	2
I955	2
I958	2
I959	2
I965	2
I968	2
I976	1
I977	2
I978	2
I998	2
J010	2
J013	2
J014	2
J016	1
J019	2
J022	2
J023	2
J024	1
J027	2
J038	2
J066	2
J068	2
J072	2
J073	2
J074	2
J076	2
J077	2
J078	1
J083	2
J085	2
J090	2
J091	2
J092	2
J094	2
J098	1
J100	2
J107	2
J110	2
J115	2
J120	2
J122	2
J129	2
J139	2
J148	2
J151	2
J153	2
J154	2
J155	2
J161	2
J162	1
J165	2
J170	2
J171	2
J172	2
J173	2
J174	2
J175	2
J178	2
J184	1
J185	2
J191	2
J192	2
J193	2
J194	2
J196	2
J197	2
J199	2
J201	2
J203	2
J205	2
J206	2
J207	2
J208	2
J209	2
J210	2
J226	2
J233	2
J234	1
J246	1
J247	2
J249	1
J250	1
J251	1
J252	1
J253	1
J254	1
J255	1
J256	1
J257	1
J258	1
J259	1
J260	1
J261	1
J262	1
J263	1
J276	2
J277	2
J294	2
J295	2
J296	2
J299	2
J300	2
J303	2
J304	2
J305	2
J306	1
J310	1
J315	2
J341	2
J349	2
J352	2
J353	2
J354	2
J355	2
J356	2
J357	2
J358	2
J359	2
J360	2
J361	2
J362	2
J363	1
J364	2
J365	2
J366	2
J367	2
J368	2
J369	1
J370	2
J372	2
J375	2
J376	2
J377	2
J378	1
J379	1
J383	2
J384	1
J385	2
J386	1
J388	2
J390	2
J391	2
J393	2
J399	1
J400	1
J401	1
J402	2
J405	2
J406	2
J407	2
J408	2
J409	2
J410	2
J412	2
J420	2
J421	2
J422	2
J424	2
J430	1
J433	2
J435	2
J436	1
J437	2
J438	1
J450	2
J451	1
J452	1
J453	2
J454	2
J455	1
J457	1
J458	1
J459	1
J460	1
J461	1
J462	1
J473	1
J475	1
J476	2
J477	1
J487	1
J493	1
J494	2
J495	1
J496	2
J497	2
J522	2
J523	2
J524	2
J525	2
J526	1
J527	2
J528	1
J529	1
J546	2
J549	1
J567	1
J571	1
J582	1
J586	1
J588	2
J589	2
J591	1
J592	1
J595	1
J597	2
J598	2
J600	1
J601	2
J604	2
J608	1
J609	2
J610	1
J612	1
J616	2
J618	2
J619	2
J620	2
J622	2
J623	2
J625	1
J628	1
J631	2
J632	1
J638	1
J650	1
J656	1
J662	2
J667	1
J672	1
J673	1
J680	2
J690	2
J701	1
J705	1
J733	2
J736	2
J741	2
J747	2
J748	2
J761	2
J764	2
J782	2
J800	1
J802	2
J805	2
J810	2
J820	2
J836	2
J844	2
J848	2
J856	2
J865	2
J866	2
J867	1
J876	2
J884	2
J888	2
K003	2
K005	2
K014	2
