	F578	F580	F657	F658	F684	F687	F934	F948	F954	G085	G102	H034	H320	H346	H348	H361	H382	H520	H533	H540	H541	H579	H624	H636	H637	H639	H640	H642	H665	H672	H677	H681	H682	H697	H698	H703	H706	H707	H709	H710	H729	H730	H740	H742	H754	H765	H771	H778	H784	H800	H806	H810	H811	H812	H813	H814	H834	H851	H852	H877	H902	H911	H915	H920	I075	I112	I120	I182	I187	I188	I223	I228	I238	I259	I323	I372	I373	I387	I420	I439	I462	I598	I602	I623	I692	I705	I730	I752	I763	I859	I892	I896	I915	I944	I945	I955	I958	I975	I998	J018	J022	J024	J038	J066	J076	J077	J085	J139	J184	J185	J234
F578	0.0	5.48565e-05	5.72459e-05	5.48565e-05	5.72459e-05	5.96356e-05	5.96356e-05	5.96356e-05	0.00033444	6.91981e-05	6.20257e-05	6.20257e-05	5.48565e-05	5.96356e-05	6.6807e-05	5.96356e-05	7.39815e-05	5.72459e-05	5.96356e-05	5.72459e-05	6.6807e-05	5.72459e-05	7.87664e-05	5.72459e-05	5.72459e-05	0.000119496	0.000117097	0.00016514	5.96356e-05	5.72459e-05	5.48565e-05	5.48565e-05	6.20257e-05	6.20257e-05	6.20257e-05	5.72459e-05	5.72459e-05	6.20257e-05	5.96356e-05	5.96356e-05	6.6807e-05	5.72459e-05	0.000332009	5.72459e-05	6.6807e-05	6.20257e-05	5.48565e-05	5.96356e-05	5.48565e-05	5.96356e-05	5.72459e-05	6.20257e-05	6.20257e-05	6.20257e-05	6.20257e-05	6.44162e-05	5.72459e-05	5.96356e-05	5.96356e-05	7.87664e-05	5.72459e-05	5.96356e-05	5.96356e-05	5.72459e-05	5.72459e-05	5.72459e-05	5.96356e-05	5.96356e-05	5.96356e-05	0.000102712	5.48565e-05	5.96356e-05	5.96356e-05	6.44162e-05	5.96356e-05	6.44162e-05	6.6807e-05	5.96356e-05	6.44162e-05	5.96356e-05	5.96356e-05	5.96356e-05	5.96356e-05	5.96356e-05	5.96356e-05	6.20257e-05	5.72459e-05	5.72459e-05	6.20257e-05	5.72459e-05	5.96356e-05	5.96356e-05	5.96356e-05	6.20257e-05	5.96356e-05	5.72459e-05	5.96356e-05	6.6807e-05	5.72459e-05	5.72459e-05	6.44162e-05	6.20257e-05	5.96356e-05	6.44162e-05	5.96356e-05	5.96356e-05	6.20257e-05	6.6807e-05	5.96356e-05	6.20257e-05	5.96356e-05
F580	5.48565e-05	0.0	2.38113e-06	0.0	2.38113e-06	4.76262e-06	4.76262e-06	4.76262e-06	0.000278615	1.42921e-05	7.14446e-06	7.14446e-06	0.0	4.76262e-06	1.19092e-05	4.76262e-06	1.90591e-05	2.38113e-06	4.76262e-06	2.38113e-06	1.19092e-05	2.38113e-06	2.38274e-05	2.38113e-06	2.38113e-06	6.44162e-05	6.20257e-05	0.000109903	4.76262e-06	2.38113e-06	0.0	0.0	7.14446e-06	7.14446e-06	7.14446e-06	2.38113e-06	2.38113e-06	7.14446e-06	4.76262e-06	4.76262e-06	1.19092e-05	2.38113e-06	0.000276192	2.38113e-06	1.19092e-05	7.14446e-06	0.0	4.76262e-06	0.0	4.76262e-06	2.38113e-06	7.14446e-06	7.14446e-06	7.14446e-06	7.14446e-06	9.52667e-06	2.38113e-06	4.76262e-06	4.76262e-06	2.38274e-05	2.38113e-06	4.76262e-06	4.76262e-06	2.38113e-06	2.38113e-06	2.38113e-06	4.76262e-06	4.76262e-06	4.76262e-06	4.76906e-05	0.0	4.76262e-06	4.76262e-06	9.52667e-06	4.76262e-06	9.52667e-06	1.19092e-05	4.76262e-06	9.52667e-06	4.76262e-06	4.76262e-06	4.76262e-06	4.76262e-06	4.76262e-06	4.76262e-06	7.14446e-06	2.38113e-06	2.38113e-06	7.14446e-06	2.38113e-06	4.76262e-06	4.76262e-06	4.76262e-06	7.14446e-06	4.76262e-06	2.38113e-06	4.76262e-06	1.19092e-05	2.38113e-06	2.38113e-06	9.52667e-06	7.14446e-06	4.76262e-06	9.52667e-06	4.76262e-06	4.76262e-06	7.14446e-06	1.19092e-05	4.76262e-06	7.14446e-06	4.76262e-06
F657	5.72459e-05	2.38113e-06	0.0	2.38113e-06	4.76262e-06	7.14446e-06	7.14446e-06	7.14446e-06	0.000281038	1.66754e-05	9.52667e-06	9.52667e-06	2.38113e-06	7.14446e-06	1.42921e-05	7.14446e-06	2.1443e-05	4.76262e-06	7.14446e-06	4.76262e-06	1.42921e-05	4.76262e-06	2.62121e-05	4.76262e-06	4.76262e-06	6.6807e-05	6.44162e-05	0.000112301	7.14446e-06	4.76262e-06	2.38113e-06	2.38113e-06	9.52667e-06	9.52667e-06	9.52667e-06	4.76262e-06	4.76262e-06	9.52667e-06	7.14446e-06	7.14446e-06	1.42921e-05	4.76262e-06	0.000278615	4.76262e-06	1.42921e-05	9.52667e-06	2.38113e-06	7.14446e-06	2.38113e-06	7.14446e-06	4.76262e-06	9.52667e-06	9.52667e-06	9.52667e-06	9.52667e-06	1.19092e-05	4.76262e-06	7.14446e-06	7.14446e-06	2.62121e-05	4.76262e-06	7.14446e-06	7.14446e-06	4.76262e-06	4.76262e-06	4.76262e-06	7.14446e-06	7.14446e-06	7.14446e-06	5.00789e-05	2.38113e-06	7.14446e-06	7.14446e-06	1.19092e-05	7.14446e-06	1.19092e-05	1.42921e-05	7.14446e-06	1.19092e-05	7.14446e-06	7.14446e-06	7.14446e-06	7.14446e-06	7.14446e-06	7.14446e-06	9.52667e-06	4.76262e-06	4.76262e-06	9.52667e-06	4.76262e-06	7.14446e-06	7.14446e-06	7.14446e-06	9.52667e-06	7.14446e-06	4.76262e-06	7.14446e-06	1.42921e-05	4.76262e-06	4.76262e-06	1.19092e-05	9.52667e-06	7.14446e-06	1.19092e-05	7.14446e-06	7.14446e-06	9.52667e-06	1.42921e-05	7.14446e-06	9.52667e-06	7.14446e-06
F658	5.48565e-05	0.0	2.38113e-06	0.0	2.38113e-06	4.76262e-06	4.76262e-06	4.76262e-06	0.000278615	1.42921e-05	7.14446e-06	7.14446e-06	0.0	4.76262e-06	1.19092e-05	4.76262e-06	1.90591e-05	2.38113e-06	4.76262e-06	2.38113e-06	1.19092e-05	2.38113e-06	2.38274e-05	2.38113e-06	2.38113e-06	6.44162e-05	6.20257e-05	0.000109903	4.76262e-06	2.38113e-06	0.0	0.0	7.14446e-06	7.14446e-06	7.14446e-06	2.38113e-06	2.38113e-06	7.14446e-06	4.76262e-06	4.76262e-06	1.19092e-05	2.38113e-06	0.000276192	2.38113e-06	1.19092e-05	7.14446e-06	0.0	4.76262e-06	0.0	4.76262e-06	2.38113e-06	7.14446e-06	7.14446e-06	7.14446e-06	7.14446e-06	9.52667e-06	2.38113e-06	4.76262e-06	4.76262e-06	2.38274e-05	2.38113e-06	4.76262e-06	4.76262e-06	2.38113e-06	2.38113e-06	2.38113e-06	4.76262e-06	4.76262e-06	4.76262e-06	4.76906e-05	0.0	4.76262e-06	4.76262e-06	9.52667e-06	4.76262e-06	9.52667e-06	1.19092e-05	4.76262e-06	9.52667e-06	4.76262e-06	4.76262e-06	4.76262e-06	4.76262e-06	4.76262e-06	4.76262e-06	7.14446e-06	2.38113e-06	2.38113e-06	7.14446e-06	2.38113e-06	4.76262e-06	4.76262e-06	4.76262e-06	7.14446e-06	4.76262e-06	2.38113e-06	4.76262e-06	1.19092e-05	2.38113e-06	2.38113e-06	9.52667e-06	7.14446e-06	4.76262e-06	9.52667e-06	4.76262e-06	4.76262e-06	7.14446e-06	1.19092e-05	4.76262e-06	7.14446e-06	4.76262e-06
F684	5.72459e-05	2.38113e-06	4.76262e-06	2.38113e-06	0.0	7.14446e-06	7.14446e-06	7.14446e-06	0.000281038	1.66754e-05	9.52667e-06	9.52667e-06	2.38113e-06	7.14446e-06	1.42921e-05	7.14446e-06	2.1443e-05	4.76262e-06	7.14446e-06	4.76262e-06	1.42921e-05	4.76262e-06	2.62121e-05	4.76262e-06	4.76262e-06	6.6807e-05	6.44162e-05	0.000112301	7.14446e-06	4.76262e-06	2.38113e-06	2.38113e-06	9.52667e-06	9.52667e-06	9.52667e-06	4.76262e-06	4.76262e-06	9.52667e-06	7.14446e-06	7.14446e-06	1.42921e-05	4.76262e-06	0.000278615	4.76262e-06	1.42921e-05	9.52667e-06	2.38113e-06	7.14446e-06	2.38113e-06	7.14446e-06	4.76262e-06	9.52667e-06	9.52667e-06	9.52667e-06	9.52667e-06	1.19092e-05	4.76262e-06	7.14446e-06	7.14446e-06	2.62121e-05	4.76262e-06	7.14446e-06	7.14446e-06	4.76262e-06	4.76262e-06	4.76262e-06	7.14446e-06	7.14446e-06	7.14446e-06	5.00789e-05	2.38113e-06	7.14446e-06	7.14446e-06	1.19092e-05	7.14446e-06	1.19092e-05	1.42921e-05	7.14446e-06	1.19092e-05	7.14446e-06	7.14446e-06	7.14446e-06	7.14446e-06	7.14446e-06	7.14446e-06	9.52667e-06	4.76262e-06	4.76262e-06	9.52667e-06	4.76262e-06	7.14446e-06	7.14446e-06	7.14446e-06	9.52667e-06	7.14446e-06	4.76262e-06	7.14446e-06	1.42921e-05	4.76262e-06	4.76262e-06	1.19092e-05	9.52667e-06	7.14446e-06	1.19092e-05	7.14446e-06	7.14446e-06	9.52667e-06	1.42921e-05	7.14446e-06	9.52667e-06	7.14446e-06
F687	5.96356e-05	4.76262e-06	7.14446e-06	4.76262e-06	7.14446e-06	0.0	9.52667e-06	9.52667e-06	0.000283462	1.90591e-05	1.19092e-05	1.19092e-05	4.76262e-06	9.52667e-06	1.19092e-05	9.52667e-06	1.90591e-05	7.14446e-06	4.76262e-06	2.38113e-06	1.19092e-05	7.14446e-06	2.38274e-05	7.14446e-06	7.14446e-06	6.91981e-05	6.6807e-05	0.000114699	4.76262e-06	7.14446e-06	4.76262e-06	4.76262e-06	7.14446e-06	7.14446e-06	7.14446e-06	7.14446e-06	7.14446e-06	1.19092e-05	9.52667e-06	9.52667e-06	1.19092e-05	7.14446e-06	0.000281038	2.38113e-06	1.19092e-05	7.14446e-06	4.76262e-06	9.52667e-06	4.76262e-06	0.0	2.38113e-06	7.14446e-06	2.38113e-06	2.38113e-06	2.38113e-06	1.42921e-05	7.14446e-06	0.0	4.76262e-06	2.85972e-05	2.38113e-06	4.76262e-06	9.52667e-06	2.38113e-06	2.38113e-06	2.38113e-06	4.76262e-06	0.0	0.0	5.24675e-05	4.76262e-06	9.52667e-06	4.76262e-06	9.52667e-06	4.76262e-06	1.42921e-05	7.14446e-06	4.76262e-06	9.52667e-06	4.76262e-06	0.0	4.76262e-06	4.76262e-06	4.76262e-06	4.76262e-06	7.14446e-06	2.38113e-06	2.38113e-06	7.14446e-06	2.38113e-06	9.52667e-06	9.52667e-06	4.76262e-06	7.14446e-06	4.76262e-06	2.38113e-06	4.76262e-06	7.14446e-06	2.38113e-06	2.38113e-06	4.76262e-06	7.14446e-06	4.76262e-06	9.52667e-06	0.0	4.76262e-06	7.14446e-06	1.19092e-05	4.76262e-06	7.14446e-06	4.76262e-06
F934	5.96356e-05	4.76262e-06	7.14446e-06	4.76262e-06	7.14446e-06	9.52667e-06	0.0	9.52667e-06	0.000283462	1.90591e-05	1.19092e-05	1.19092e-05	4.76262e-06	9.52667e-06	1.66754e-05	9.52667e-06	2.38274e-05	7.14446e-06	9.52667e-06	7.14446e-06	1.66754e-05	7.14446e-06	2.85972e-05	7.14446e-06	7.14446e-06	6.91981e-05	6.6807e-05	0.000114699	9.52667e-06	7.14446e-06	4.76262e-06	4.76262e-06	1.19092e-05	1.19092e-05	1.19092e-05	7.14446e-06	7.14446e-06	1.19092e-05	9.52667e-06	9.52667e-06	1.66754e-05	7.14446e-06	0.000281038	7.14446e-06	1.66754e-05	1.19092e-05	4.76262e-06	9.52667e-06	4.76262e-06	9.52667e-06	7.14446e-06	1.19092e-05	1.19092e-05	1.19092e-05	1.19092e-05	1.42921e-05	7.14446e-06	9.52667e-06	9.52667e-06	2.85972e-05	7.14446e-06	9.52667e-06	4.76262e-06	7.14446e-06	7.14446e-06	7.14446e-06	9.52667e-06	9.52667e-06	9.52667e-06	5.24675e-05	4.76262e-06	9.52667e-06	9.52667e-06	1.42921e-05	9.52667e-06	1.42921e-05	1.66754e-05	9.52667e-06	1.42921e-05	9.52667e-06	9.52667e-06	9.52667e-06	9.52667e-06	9.52667e-06	9.52667e-06	1.19092e-05	7.14446e-06	7.14446e-06	1.19092e-05	7.14446e-06	9.52667e-06	9.52667e-06	9.52667e-06	1.19092e-05	9.52667e-06	7.14446e-06	9.52667e-06	1.66754e-05	7.14446e-06	7.14446e-06	1.42921e-05	1.19092e-05	9.52667e-06	1.42921e-05	9.52667e-06	9.52667e-06	1.19092e-05	1.66754e-05	9.52667e-06	1.19092e-05	9.52667e-06
F948	5.96356e-05	4.76262e-06	7.14446e-06	4.76262e-06	7.14446e-06	9.52667e-06	9.52667e-06	0.0	0.000283462	1.42921e-05	1.19092e-05	1.19092e-05	4.76262e-06	9.52667e-06	1.66754e-05	9.52667e-06	2.38274e-05	7.14446e-06	9.52667e-06	7.14446e-06	1.66754e-05	7.14446e-06	2.85972e-05	7.14446e-06	7.14446e-06	6.91981e-05	6.6807e-05	0.000114699	9.52667e-06	7.14446e-06	4.76262e-06	4.76262e-06	1.19092e-05	1.19092e-05	1.19092e-05	7.14446e-06	7.14446e-06	1.19092e-05	9.52667e-06	9.52667e-06	1.66754e-05	7.14446e-06	0.000281038	7.14446e-06	1.66754e-05	1.19092e-05	4.76262e-06	9.52667e-06	4.76262e-06	9.52667e-06	7.14446e-06	1.19092e-05	1.19092e-05	1.19092e-05	1.19092e-05	1.42921e-05	7.14446e-06	9.52667e-06	9.52667e-06	2.38274e-05	7.14446e-06	9.52667e-06	9.52667e-06	7.14446e-06	7.14446e-06	7.14446e-06	9.52667e-06	9.52667e-06	9.52667e-06	5.24675e-05	4.76262e-06	9.52667e-06	9.52667e-06	1.42921e-05	9.52667e-06	1.42921e-05	1.66754e-05	9.52667e-06	1.42921e-05	9.52667e-06	9.52667e-06	9.52667e-06	9.52667e-06	9.52667e-06	9.52667e-06	1.19092e-05	7.14446e-06	7.14446e-06	1.19092e-05	7.14446e-06	9.52667e-06	9.52667e-06	9.52667e-06	1.19092e-05	9.52667e-06	7.14446e-06	9.52667e-06	1.66754e-05	7.14446e-06	7.14446e-06	1.42921e-05	1.19092e-05	9.52667e-06	1.42921e-05	9.52667e-06	9.52667e-06	1.19092e-05	1.66754e-05	9.52667e-06	1.19092e-05	9.52667e-06
F954	0.00033444	0.000278615	0.000281038	0.000278615	0.000281038	0.000283462	0.000283462	0.000283462	0.0	0.00029316	0.000285886	0.000285886	0.000278615	0.000278615	0.000276192	0.000278615	0.000298011	0.000281038	0.000283462	0.000281038	0.000290735	0.000276192	0.000302863	0.000281038	0.000281038	0.000339304	0.000341736	0.000172359	0.000283462	0.000281038	0.000278615	0.000278615	0.000285886	0.000285886	0.000285886	0.000281038	0.000281038	0.000285886	0.000283462	0.000283462	0.000290735	0.000281038	2.38113e-06	0.000281038	0.000290735	0.000285886	0.000278615	0.000283462	0.000278615	0.000283462	0.000281038	0.000285886	0.000285886	0.000281038	0.000281038	0.000281038	0.000281038	0.000283462	0.000283462	0.000302863	0.000281038	0.000283462	0.000283462	0.000281038	0.000281038	0.000281038	0.000283462	0.000283462	0.000283462	0.000324718	0.000278615	0.000283462	0.000283462	0.000283462	0.000278615	0.00028831	0.000285886	0.000283462	0.00028831	0.000283462	0.000283462	0.000283462	0.000278615	0.000283462	0.000283462	0.000281038	0.000281038	0.000281038	0.000281038	0.000281038	0.000283462	0.000283462	0.000283462	0.000283462	0.000283462	0.000281038	0.000278615	0.000281038	0.000281038	0.000281038	0.00028831	0.000281038	0.000283462	0.00028831	0.000283462	0.000278615	0.000285886	0.000290735	0.000283462	0.000281038	0.000283462
G085	6.91981e-05	1.42921e-05	1.66754e-05	1.42921e-05	1.66754e-05	1.90591e-05	1.90591e-05	1.42921e-05	0.00029316	0.0	2.1443e-05	2.1443e-05	1.42921e-05	1.90591e-05	2.62121e-05	1.90591e-05	3.33684e-05	1.66754e-05	1.90591e-05	1.66754e-05	2.62121e-05	1.66754e-05	3.8141e-05	1.66754e-05	1.66754e-05	7.87664e-05	7.63738e-05	0.000124294	1.90591e-05	1.66754e-05	1.42921e-05	1.42921e-05	2.1443e-05	2.1443e-05	2.1443e-05	1.66754e-05	1.66754e-05	2.1443e-05	1.90591e-05	1.90591e-05	2.62121e-05	1.66754e-05	0.000290735	1.66754e-05	2.62121e-05	2.1443e-05	1.42921e-05	1.90591e-05	1.42921e-05	1.90591e-05	1.66754e-05	2.1443e-05	2.1443e-05	2.1443e-05	2.1443e-05	2.38274e-05	1.66754e-05	1.90591e-05	1.90591e-05	3.33684e-05	1.66754e-05	1.90591e-05	1.90591e-05	1.66754e-05	1.66754e-05	1.66754e-05	1.90591e-05	1.90591e-05	1.90591e-05	6.20257e-05	1.42921e-05	1.90591e-05	1.90591e-05	2.38274e-05	1.90591e-05	2.38274e-05	2.62121e-05	1.90591e-05	2.38274e-05	1.90591e-05	1.90591e-05	1.90591e-05	1.90591e-05	1.90591e-05	1.90591e-05	2.1443e-05	1.66754e-05	1.66754e-05	2.1443e-05	1.66754e-05	1.90591e-05	1.90591e-05	1.90591e-05	2.1443e-05	1.90591e-05	1.66754e-05	1.90591e-05	2.62121e-05	1.66754e-05	1.66754e-05	2.38274e-05	2.1443e-05	1.90591e-05	2.38274e-05	1.90591e-05	1.90591e-05	2.1443e-05	2.62121e-05	1.90591e-05	2.1443e-05	1.90591e-05
