query	subject	identity	alig_len	mismatches	gap	qstart	qend	sStart	sEnd	evalue	bitscore
kmer125	C505	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C549	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C569	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C571	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C734	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C742	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C756	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C757	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C871	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C934	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C958	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	C975	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D175	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D236	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D321	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D322	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D422	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D502	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D521	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D665	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D717	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D735	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D799	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D800	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D869	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D879	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D919	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	D925	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E024	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E025	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E087	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E140	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E150	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E153	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E191	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E194	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E198	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E365	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E368	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E530	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E537	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E541	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E555	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E587	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E602	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E809	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E898	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E945	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	E976	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F011	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F013	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F034	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F501	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F569	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F578	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F580	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F657	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F658	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F670	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F684	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F687	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F778	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F934	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F948	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	F954	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	G057	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	G085	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	G102	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	G807	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	G965	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	H034	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	H320	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	H348	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	H361	100	200	0	0	1	200	21873	22072	2e-103	370
kmer125	H378	100	200	0	0	1	200	21873	22072	2e-103	370
