genome	case_control	kmer	StartL	EndL	StartR	EndR	mybehave	intactk_orien	flk_dist
C505	1	kmer99	1846900	1846962	1849016	1849137	intact_k	intactk_fwd	2054
C549	1	kmer99	1846874	1846936	1848990	1849111	intact_k	intactk_fwd	2054
C569	1	kmer99	2208687	2208625	2206571	2206450	intact_k	intactk_rev	2054
C571	1	kmer99	2208693	2208631	2206577	2206456	intact_k	intactk_rev	2054
C734	1	kmer99	1897614	1897676	1899730	1899851	intact_k	intactk_fwd	2054
C742	1	kmer99	1847926	1847988	1850042	1850163	intact_k	intactk_fwd	2054
C756	1	kmer99	2208678	2208616	2206562	2206441	intact_k	intactk_rev	2054
C757	1	kmer99	1847918	1847980	1850034	1850155	intact_k	intactk_fwd	2054
C871	1	kmer99	2203409	2203347	2201293	2201172	intact_k	intactk_rev	2054
C934	1	kmer99	1847921	1847983	1850037	1850158	intact_k	intactk_fwd	2054
C958	1	kmer99	2202536	2202474	2200420	2200299	intact_k	intactk_rev	2054
C975	1	kmer99	1848022	1848084	1850138	1850259	intact_k	intactk_fwd	2054
D175	1	kmer99	1851090	1851152	1853206	1853327	intact_k	intactk_fwd	2054
D236	1	kmer99	2155852	2155790	2153736	2153615	intact_k	intactk_rev	2054
D321	1	kmer99	1845825	1845887	1847941	1848062	intact_k	intactk_fwd	2054
D322	1	kmer99	1845813	1845875	1847929	1848050	intact_k	intactk_fwd	2054
D422	1	kmer99	1847921	1847983	1850037	1850158	intact_k	intactk_fwd	2054
D502	1	kmer99	2206591	2206529	2204475	2204354	intact_k	intactk_rev	2054
D521	1	kmer99	1844724	1844786	1846840	1846961	intact_k	intactk_fwd	2054
D665	1	kmer99	1846875	1846937	1848991	1849112	intact_k	intactk_fwd	2054
D717	1	kmer99	2205529	2205467	2203413	2203292	intact_k	intactk_rev	2054
D735	1	kmer99	2206574	2206512	2204458	2204337	intact_k	intactk_rev	2054
D799	1	kmer99	2206581	2206519	2204465	2204344	intact_k	intactk_rev	2054
D800	1	kmer99	2204478	2204416	2202362	2202241	intact_k	intactk_rev	2054
D869	1	kmer99	1847846	1847908	1849962	1850083	intact_k	intactk_fwd	2054
D879	1	kmer99	2208681	2208619	2206565	2206444	intact_k	intactk_rev	2054
D919	1	kmer99	1848972	1849034	1851088	1851209	intact_k	intactk_fwd	2054
D925	1	kmer99	1847920	1847982	1850036	1850157	intact_k	intactk_fwd	2054
E024	1	kmer99	2206576	2206514	2204460	2204339	intact_k	intactk_rev	2054
E025	1	kmer99	2206577	2206515	2204461	2204340	intact_k	intactk_rev	2054
E087	1	kmer99	2206580	2206518	2204464	2204343	intact_k	intactk_rev	2054
E140	1	kmer99	1845795	1845857	1847911	1848032	intact_k	intactk_fwd	2054
E150	1	kmer99	1847938	1848000	1850054	1850175	intact_k	intactk_fwd	2054
E153	1	kmer99	1848964	1849026	1851080	1851201	intact_k	intactk_fwd	2054
E191	1	kmer99	1852109	1852171	1854225	1854346	intact_k	intactk_fwd	2054
E194	1	kmer99	1845822	1845884	1847938	1848059	intact_k	intactk_fwd	2054
E198	1	kmer99	1847910	1847972	1850026	1850147	intact_k	intactk_fwd	2054
E365	1	kmer99	1846884	1846946	1849000	1849121	intact_k	intactk_fwd	2054
E368	1	kmer99	1847908	1847970	1850024	1850145	intact_k	intactk_fwd	2054
E530	1	kmer99	1902843	1902905	1904959	1905080	intact_k	intactk_fwd	2054
E537	1	kmer99	1852118	1852180	1854234	1854355	intact_k	intactk_fwd	2054
E541	1	kmer99	2209729	2209667	2207613	2207492	intact_k	intactk_rev	2054
E555	1	kmer99	1845826	1845888	1847942	1848063	intact_k	intactk_fwd	2054
E587	1	kmer99	1843158	1843220	1845274	1845395	intact_k	intactk_fwd	2054
E602	1	kmer99	2209716	2209654	2207600	2207479	intact_k	intactk_rev	2054
E809	1	kmer99	1846868	1846930	1848984	1849105	intact_k	intactk_fwd	2054
E898	1	kmer99	2206566	2206504	2204450	2204329	intact_k	intactk_rev	2054
E945	1	kmer99	1929151	1929213	1955062	1955183	intact_k	intactk_fwd	25849
E976	1	kmer99	1915362	1915424	1941273	1941394	intact_k	intactk_fwd	25849
F011	1	kmer99	2206576	2206514	2204460	2204339	intact_k	intactk_rev	2054
F013	1	kmer99	2205624	2205562	2203508	2203387	intact_k	intactk_rev	2054
F034	1	kmer99	1903385	1903447	1905501	1905622	intact_k	intactk_fwd	2054
F501	1	kmer99	2151669	2151607	2149553	2149432	intact_k	intactk_rev	2054
F569	1	kmer99	2152718	2152656	2150602	2150481	intact_k	intactk_rev	2054
F578	1	kmer99	2146471	2146409	2144355	2144234	intact_k	intactk_rev	2054
F580	1	kmer99	1845821	1845883	1847937	1848058	intact_k	intactk_fwd	2054
F657	1	kmer99	1846827	1846889	1848943	1849064	intact_k	intactk_fwd	2054
F658	1	kmer99	1850062	1850124	1852178	1852299	intact_k	intactk_fwd	2054
F670	1	kmer99	1845826	1845888	1847942	1848063	intact_k	intactk_fwd	2054
F684	1	kmer99	1845830	1845892	1847946	1848067	intact_k	intactk_fwd	2054
F687	1	kmer99	1900749	1900811	1902865	1902986	intact_k	intactk_fwd	2054
F778	1	kmer99	1935622	1935684	1937738	1937859	intact_k	intactk_fwd	2054
F934	1	kmer99	1850018	1850080	1852134	1852255	intact_k	intactk_fwd	2054
F948	1	kmer99	2038246	2038308	2040362	2040483	intact_k	intactk_fwd	2054
F954	0	kmer99	1888321	1888259	1862412	1862291	intact_k	intactk_rev	25847
G057	1	kmer99	1850023	1850085	1852139	1852260	intact_k	intactk_fwd	2054
G085	1	kmer99	1848967	1849029	1851083	1851204	intact_k	intactk_fwd	2054
G102	1	kmer99	1848977	1849039	1851093	1851214	intact_k	intactk_fwd	2054
G807	1	kmer99	2206580	2206518	2204464	2204343	intact_k	intactk_rev	2054
G965	1	kmer99	1845822	1845884	1847938	1848059	intact_k	intactk_fwd	2054
H034	1	kmer99	2294720	2294658	2292604	2292483	intact_k	intactk_rev	2054
H320	1	kmer99	2159000	2158938	2156884	2156763	intact_k	intactk_rev	2054
H348	1	kmer99	1815734	1815796	1817850	1817971	intact_k	intactk_fwd	2054
H361	1	kmer99	2154789	2154727	2152673	2152552	intact_k	intactk_rev	2054
H378	0	kmer99	1868784	1868846	1870900	1871021	intact_k	intactk_fwd	2054
H520	1	kmer99	1848976	1849038	1851092	1851213	intact_k	intactk_fwd	2054
H533	1	kmer99	1816789	1816851	1818905	1819026	intact_k	intactk_fwd	2054
H540	0	kmer99	1815740	1815802	2131505	2131384	mv&flp	NA	315582
H541	1	kmer99	2206582	2206520	2204466	2204345	intact_k	intactk_rev	2054
H559	0	kmer99	1868787	1868849	1870903	1871024	intact_k	intactk_fwd	2054
H561	1	kmer99	2250800	2250738	2248684	2248563	intact_k	intactk_rev	2054
H564	1	kmer99	1847923	1847985	1850039	1850160	intact_k	intactk_fwd	2054
H579	1	kmer99	1847923	1847985	1850039	1850160	intact_k	intactk_fwd	2054
H624	1	kmer99	1899701	1899763	1901817	1901938	intact_k	intactk_fwd	2054
H637	0	kmer99	1852108	1852170	1854224	1854345	intact_k	intactk_fwd	2054
H639	1	kmer99	1934587	1934649	1936703	1936824	intact_k	intactk_fwd	2054
H640	1	kmer99	1934586	1934648	1936702	1936823	intact_k	intactk_fwd	2054
H642	1	kmer99	1847910	1847972	1850026	1850147	intact_k	intactk_fwd	2054
H665	0	kmer99	1817833	1817895	2133589	2133468	mv&flp	NA	315573
H672	1	kmer99	1848956	1849018	1851072	1851193	intact_k	intactk_fwd	2054
H677	0	kmer99	1851069	1851131	1853185	1853306	intact_k	intactk_fwd	2054
H681	0	kmer99	1846874	1846936	1848990	1849111	intact_k	intactk_fwd	2054
H682	1	kmer99	2207644	2207582	1907069	1907190	mv&flp	NA	300392
H697	0	kmer99	1898656	1898718	1900772	1900893	intact_k	intactk_fwd	2054
H698	0	kmer99	1898656	1898718	1900772	1900893	intact_k	intactk_fwd	2054
H703	1	kmer99	1846867	1846929	1848983	1849104	intact_k	intactk_fwd	2054
H706	1	kmer99	2207366	2207304	2205250	2205129	intact_k	intactk_rev	2054
H707	1	kmer99	1846885	1846947	1849001	1849122	intact_k	intactk_fwd	2054
H709	1	kmer99	2254998	2254936	2252882	2252761	intact_k	intactk_rev	2054
H729	1	kmer99	1817834	1817896	1819950	1820071	intact_k	intactk_fwd	2054
H754	1	kmer99	2206579	2206517	2204463	2204342	intact_k	intactk_rev	2054
H765	0	kmer99	1898653	1898715	1900769	1900890	intact_k	intactk_fwd	2054
H775	0	kmer99	1868787	1868849	1870903	1871024	intact_k	intactk_fwd	2054
H782	1	kmer99	1900735	1900797	1902851	1902972	intact_k	intactk_fwd	2054
H784	1	kmer99	2137862	2137800	2135746	2135625	intact_k	intactk_rev	2054
H787	1	kmer99	1847910	1847972	1850026	1850147	intact_k	intactk_fwd	2054
H800	1	kmer99	1866699	1866761	1868815	1868936	intact_k	intactk_fwd	2054
H806	1	kmer99	2206861	2206799	2204745	2204624	intact_k	intactk_rev	2054
H810	0	kmer99	1815734	1815796	2131496	2131375	mv&flp	NA	315579
H811	0	kmer99	1901796	1901858	1903912	1904033	intact_k	intactk_fwd	2054
H812	0	kmer99	1868793	1868855	1870909	1871030	intact_k	intactk_fwd	2054
H813	0	kmer99	1868788	1868850	1870904	1871025	intact_k	intactk_fwd	2054
H814	1	kmer99	1846871	1846933	1848987	1849108	intact_k	intactk_fwd	2054
H834	1	kmer99	1850020	1850082	1852136	1852257	intact_k	intactk_fwd	2054
H849	0	kmer99	2293665	2293603	2291549	2291428	intact_k	intactk_rev	2054
H851	0	kmer99	1868789	1868851	1870905	1871026	intact_k	intactk_fwd	2054
H852	1	kmer99	1899696	1899758	1901812	1901933	intact_k	intactk_fwd	2054
H853	1	kmer99	1900748	1900810	1902864	1902985	intact_k	intactk_fwd	2054
H864	0	kmer99	1868791	1868853	1870907	1871028	intact_k	intactk_fwd	2054
H866	0	kmer99	1901803	1901865	1903919	1904040	intact_k	intactk_fwd	2054
H876	1	kmer99	2154814	2154752	2152698	2152577	intact_k	intactk_rev	2054
H877	1	kmer99	2154812	2154750	2152696	2152575	intact_k	intactk_rev	2054
H878	1	kmer99	1816786	1816848	1818902	1819023	intact_k	intactk_fwd	2054
H883	0	kmer99	1901799	1901861	1903915	1904036	intact_k	intactk_fwd	2054
H902	1	kmer99	1815735	1815797	1817851	1817972	intact_k	intactk_fwd	2054
H910	1	kmer99	1903892	1903954	1906008	1906129	intact_k	intactk_fwd	2054
H911	0	kmer99	1815730	1815792	2131486	2131365	mv&flp	NA	315573
H915	0	kmer99	2154797	2154735	2152681	2152560	intact_k	intactk_rev	2054
H920	1	kmer99	2208952	2208890	2206836	2206715	intact_k	intactk_rev	2054
