sseqid	mystart	myend
H520	27283	28335
H520	34524	35576
H520	43562	44614
H520	50040	51092
H520	57498	58550
H520	68984	70036
H520	77635	78687
H520	79374	79604
H520	107428	108480
H520	121123	122175
H520	135158	136205
H520	164895	165947
H520	174201	175253
H520	194305	195357
H520	205535	206587
H520	224455	225507
H520	233236	234288
H520	235322	236374
H520	265473	266525
H520	277142	278194
H520	285975	287027
H520	300554	301606
H520	301970	303022
H520	330284	331336
H520	354920	355972
H520	365306	366353
H520	390859	391906
H520	401057	402104
H520	412388	413440
H520	421053	422099
H520	430223	431274
H520	468401	470502
H520	482300	483352
H520	496537	497589
H520	508299	509350
H520	519013	520065
H520	521353	522405
H520	539422	540474
H520	555210	556256
H520	562547	563599
H520	574324	575375
H520	576928	577980
H520	620664	621716
H520	629760	630812
H520	637694	638746
H520	653592	654644
H520	673556	674608
H520	736308	737360
H520	740737	741789
H520	749817	750863
H520	754252	755304
H520	762342	763394
H520	773322	774374
H520	786102	787154
H520	809952	812053
H520	817590	818642
H520	819989	821041
H520	869085	870137
H520	903058	904110
H520	922639	923691
H520	930920	931972
H520	962792	963844
H520	1005157	1006209
H520	1022867	1023918
H520	1029153	1030204
H520	1043812	1044864
H520	1054352	1055404
H520	1058956	1060008
H520	1061768	1062820
H520	1067201	1068253
H520	1074523	1075569
H520	1081231	1082283
H520	1086195	1087247
H520	1088534	1089585
H520	1098141	1099193
H520	1106236	1107287
H520	1129478	1130530
H520	1134083	1135135
H520	1144578	1145630
H520	1169886	1170938
H520	1185314	1186366
H520	1194392	1196493
H520	1216645	1217697
H520	1241522	1242573
H520	1248893	1249945
H520	1265346	1266393
H520	1294299	1295350
H520	1301720	1302771
H520	1323755	1324807
H520	1328817	1329869
H520	1350639	1351691
H520	1355072	1356124
H520	1357979	1359031
H520	1359570	1360622
H520	1368535	1369587
H520	1414424	1415476
H520	1420614	1421666
H520	1450314	1451366
H520	1456652	1457704
H520	1468932	1471033
H520	1496629	1497681
H520	1501414	1502466
H520	1503592	1504644
H520	1519051	1520103
H520	1548047	1549099
H520	1562310	1563362
H520	1566430	1567482
H520	1582898	1583950
H520	1604202	1605254
H520	1613527	1614579
H520	1650325	1651377
H520	1653755	1654807
H520	1658536	1659588
H520	1674507	1675554
H520	1696249	1697301
H520	1704965	1706017
H520	1713212	1714264
H520	1727574	1728626
H520	1735099	1736151
H520	1756646	1757698
H520	1758366	1758765
H520	1799613	1800664
H520	1813675	1814727
H520	1849539	1850590
H520	1875415	1876467
H520	1909402	1910454
H520	1918898	1919950
H520	1943963	1946064
H520	1951686	1952738
H520	1987521	1988573
H520	2006209	2007261
H520	2007381	2008433
H520	2019930	2020982
H520	2020985	2022021
H520	2038207	2039259
H520	2039708	2040760
H520	2060405	2062506
H520	2068375	2069427
H520	2069955	2071007
H520	2081477	2083578
H520	2112751	2113803
H520	2149004	2150056
H520	2150987	2152039
H520	2165233	2166284
H520	2203289	2204341
H520	2213602	2214654
H520	2228054	2230155
H520	2251991	2253043
H520	2260564	2261616
H520	2300628	2301680
H520	2307934	2308986
H520	2334799	2335851
H520	2362206	2363258
H520	2409277	2410329
H520	2442690	2443742
H520	2470837	2471889
H520	2483310	2484356
H520	2504327	2505512
H520	2538223	2539275
H520	2550345	2552446
H520	2557940	2558992
H520	2561651	2562703
H520	2604882	2605934
H520	2639370	2640422
H520	2666426	2667473
H520	2670533	2671585
H520	2699497	2701598
H520	2716880	2717932
H520	2726270	2727322
H520	2734909	2735961
H520	2790630	2791682
H520	2815752	2816804
H520	2835098	2837199
