sseqid	mystart	myend	merge
J234	27283	28335	NA
J234	34524	35576	NA
J234	43562	44614	NA
J234	50040	51091	NA
J234	57497	58549	NA
J234	68983	70035	NA
J234	77634	78686	NA
J234	79373	79603	NA
J234	107427	108479	NA
J234	121122	122174	NA
J234	135157	136204	NA
J234	164893	165945	NA
J234	174199	175251	NA
J234	194303	195355	NA
J234	205533	206585	NA
J234	224453	225504	NA
J234	233233	234285	NA
J234	235319	236371	NA
J234	265470	266522	NA
J234	277139	279240	merged_IS
J234	287021	288073	NA
J234	301600	302652	NA
J234	303016	304068	NA
J234	331330	332382	NA
J234	355966	357018	NA
J234	366352	367399	NA
J234	391905	392952	NA
J234	402103	403150	NA
J234	413434	414486	NA
J234	422099	423145	NA
J234	431269	432320	NA
J234	448463	450564	merged_IS
J234	466849	467901	NA
J234	476219	477266	NA
J234	523453	524504	NA
J234	553507	554559	NA
J234	563935	566036	merged_IS
J234	591365	592417	NA
J234	621748	622800	NA
J234	637839	638891	NA
J234	650692	651744	NA
J234	667218	668270	NA
J234	679286	680337	NA
J234	683122	684174	NA
J234	690470	691522	NA
J234	697816	698867	NA
J234	722315	723362	NA
J234	738050	740151	merged_IS
J234	751337	752389	NA
J234	755394	756446	NA
J234	761447	762499	NA
J234	765315	766367	NA
J234	780564	781610	NA
J234	817961	819013	NA
J234	823548	824600	NA
J234	857149	858196	NA
J234	864983	866035	NA
J234	905457	906509	NA
J234	916020	917072	NA
J234	937718	938770	NA
J234	941421	942474	NA
J234	955880	956932	NA
J234	959636	960688	NA
J234	980009	981061	NA
J234	1000467	1001519	NA
J234	1027530	1028582	NA
J234	1040272	1041318	NA
J234	1049330	1050382	NA
J234	1098094	1099146	NA
J234	1114197	1115249	NA
J234	1119032	1120084	NA
J234	1127563	1128615	NA
J234	1155237	1156283	NA
J234	1159682	1160734	NA
J234	1178419	1179471	NA
J234	1181626	1182728	merged_IS
J234	1198977	1200029	NA
J234	1218815	1220916	merged_IS
J234	1239210	1240262	NA
J234	1264332	1265384	NA
J234	1320053	1321105	NA
J234	1328692	1329744	NA
J234	1338082	1339134	NA
J234	1354416	1355468	NA
J234	1383380	1384432	NA
J234	1387492	1388539	NA
J234	1414543	1415595	NA
J234	1449031	1450083	NA
J234	1492262	1493314	NA
J234	1495973	1497025	NA
J234	1502519	1504620	merged_IS
J234	1515690	1516742	NA
J234	1549453	1550505	NA
J234	1554238	1555290	NA
J234	1556416	1557468	NA
J234	1571875	1572927	NA
J234	1600871	1601923	NA
J234	1615134	1616186	NA
J234	1619254	1620306	NA
J234	1635722	1636774	NA
J234	1657026	1658078	NA
J234	1666351	1667403	NA
J234	1703149	1704201	NA
J234	1706579	1707631	NA
J234	1711360	1712412	NA
J234	1727331	1728378	NA
J234	1749073	1750125	NA
J234	1757789	1758841	NA
J234	1766036	1767088	NA
J234	1780398	1781450	NA
J234	1787923	1788975	NA
J234	1809470	1810522	NA
J234	1811181	1811589	NA
J234	1852437	1853488	NA
J234	1866499	1867551	NA
J234	1902363	1903414	NA
J234	1928239	1929291	NA
J234	1962226	1963278	NA
J234	1971722	1972774	NA
J234	1996787	1998888	merged_IS
J234	2004510	2005561	NA
J234	2040344	2041396	NA
J234	2059032	2060084	NA
J234	2060204	2061256	NA
J234	2072753	2073805	NA
J234	2073808	2074844	NA
