kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd	fwdk_0gen_med_round	mycol_index
kmer10295	intact_k	3103, 2054	29	18	0.931	0.069	0.111	0.889	27	2	2	16	467900	889.876752886396	3585025	3700.99689273039	467899.5	0.707106781186548	3586605.5	2650.05968486246	467900	1
kmer10010	intact_k	2055	29	18	0.931	0.069	0.111	0.889	27	2	2	16	481799	1121.57990037914	3571126	3700.99689273039	481798.5	0.707106781186548	3572706.5	2650.05968486246	481800	2
kmer10169	intact_k	2063	29	18	0.931	0.069	0.111	0.889	27	2	2	16	496036	1121.57990037914	3556889	3700.99689273039	496035.5	0.707106781186548	3558469.5	2650.05968486246	496000	3
kmer10031	intact_k	2056, 2055	29	18	0.931	0.069	0.111	0.889	27	2	2	16	538919	1201.90065291903	3514006	3700.99689273039	538931	16.9705627484771	3515586.5	2650.05968486246	538900	4
kmer10328	intact_k	4711, 4710, 4712	29	18	0.931	0.069	0.111	0.889	27	2	2	16	573783	1201.945642546	3479142	3700.99689273039	573795	16.9705627484771	3480722.5	2650.05968486246	573800	5
kmer10139	intact_k	19081, 19080, 20130	29	18	0.931	0.069	0.111	0.889	27	2	2	16	620168	1201.99075729674	3432757.5	3700.2897859492	620180	16.9705627484771	3434337.5	2650.05968486246	620200	6
kmer10103	intact_k	6487, 6486	29	18	0.931	0.069	0.111	0.889	27	2	2	16	735803	1141.62864744231	3317122.5	3700.2897859492	736339.5	724.784450716211	3318702.5	2382.43052014814	735800	7
kmer10568	intact_k	2057, 3106	29	18	0.931	0.069	0.111	0.889	27	2	2	16	785599	1252.68696621608	3267326.5	3700.2897859492	786135.5	724.784450716211	3268906.5	2382.42719983214	785600	8
kmer10373	intact_k	2056, 3105	29	18	0.931	0.069	0.111	0.889	27	2	2	16	868580	1340.41584630503	3184344.5	3700.2897859492	869117	724.077343935025	3185400	2265.17470904564	868600	9
kmer10183	intact_k	10339, 10340, 10341, 10338, 10324	29	18	0.931	0.069	0.111	0.889	27	2	2	16	922131	1406.61162042415	3130793	3700.99689273039	922668	724.077343935025	3131849	2265.17470904564	922100	10
