kmer	event_sum	flk_behaviour	my0_intactk_sum	my1_intactk_sum	otherk	my0_otherk_sum	my1_otherk_sum	event
0	0	0	0	0	0	0	0	0
kmer999	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 2499551 2500599 2502649 2502366 2503741 2505864  | StartL_sd: 1853  | StartR_stat: 2505554 2506600 2508652 2508368 2509739 2511867  | StartR_sd: 1853  | flk_dist_stat: 5922 5927 5927 5926 5927 5932	StartL_stat: 2501644 2501652 2501659 2501659 2501666 2501674  | StartL_sd: 21  | StartR_stat: 2507647 2507654 2507662 2507662 2507670 2507677  | StartR_sd: 21  | flk_dist_stat: 5927 5927 5927 5927 5927 5927	mv&flp	StartL_stat: 2550278 2552114 2553950 2553950 2555787 2557623  | StartL_sd: 5194  | StartR_stat: 1544766 1545288 1545810 1545810 1546333 1546855  | StartR_sd: 1477  | flk_dist_stat: 1005512 1006826 1008140 1008140 1009454 1010768	StartL_stat: 2553430 2554478 2555524 2556112 2557620 2559727  | StartL_sd: 1874  | StartR_stat: 1545804 1545812 1546852 1547181 1547904 1549996  | StartR_sd: 1416  | flk_dist_stat: 1007621 1008663 1008670 1008931 1008934 1011818	inversion
kmer9986	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 1502002 1502529 1503080 1503699 1504130 1507292  | StartL_sd: 1579  | StartR_stat: 1492956 1493478 1494029 1494648 1495079 1498241  | StartR_sd: 1578  | flk_dist_stat: 9012 9017 9017 9016 9017 9027	StartL_stat: 1503077 1503083 1503090 1503090 1503096 1503102  | StartL_sd: 18  | StartR_stat: 1494026 1494032 1494038 1494038 1494045 1494051  | StartR_sd: 18  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	mv&flp	StartL_stat: 1553817 1554339 1554862 1554862 1555384 1555906  | StartL_sd: 1477  | StartR_stat: 2556281 2558117 2559954 2559954 2561790 2563626  | StartR_sd: 5194  | flk_dist_stat: 1002464 1003778 1005092 1005092 1006406 1007720	StartL_stat: 1554855 1554864 1555904 1556297 1557212 1559047  | StartL_sd: 1475  | StartR_stat: 2559433 2560481 2561528 2562181 2563623 2565730  | StartR_sd: 1984  | flk_dist_stat: 1004573 1005616 1005622 1005884 1006665 1007721	inversion
kmer9979	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 3619424 3620972 3622541 3622654 3623652 3627866  | StartL_sd: 2270  | StartR_stat: 3621602 3623150 3624719 3624871 3625834 3630044  | StartR_sd: 2297  | flk_dist_stat: 2055 2055 2055 2094 2055 3104	StartL_stat: 3619485 3620264 3621044 3621044 3621823 3622602  | StartL_sd: 2204  | StartR_stat: 3621663 3622442 3623222 3623222 3624001 3624780  | StartR_sd: 2204  | flk_dist_stat: 2055 2055 2055 2055 2055 2055	mv&flp	StartL_stat: 431897 432159 432421 432421 432683 432945  | StartL_sd: 741  | StartR_stat: 3620588 3621896 3623205 3623205 3624514 3625822  | StartR_sd: 3701  | flk_dist_stat: 3188691 3189738 3190784 3190784 3191830 3192877	StartL_stat: 431895 431897 432418 432486 432945 433989  | StartL_sd: 659  | StartR_stat: 3621637 3623739 3624786 3625698 3627144 3631089  | StartR_sd: 2650  | flk_dist_stat: 3189741 3191836 3192365 3193212 3194457 3198142	inversion
kmer9976	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 429667 429929 430191 430191 430453 430715  | StartL_sd: 741  | StartR_stat: 431774 432036 432298 432298 432560 432822  | StartR_sd: 741  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	StartL_stat: 429665 429667 430188 430256 430715 431759  | StartL_sd: 659  | StartR_stat: 431772 431774 432295 432363 432822 433866  | StartR_sd: 659  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	mv&flp	StartL_stat: 429621 429667 429668 430253 430716 432815  | StartL_sd: 890  | StartR_stat: 3619547 3621095 3622664 3622777 3623774 3627989  | StartR_sd: 2270  | flk_dist_stat: 3188652 3190782 3191843 3192341 3193386 3198136	StartL_stat: 429667 429667 429668 429668 429668 429668  | StartL_sd: 1  | StartR_stat: 3619608 3620387 3621166 3621166 3621946 3622725  | StartR_sd: 2204  | flk_dist_stat: 3189758 3190537 3191316 3191316 3192095 3192874	inversion
kmer996	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 3620696 3622004 3623313 3623313 3624622 3625930  | StartL_sd: 3701  | StartR_stat: 3618528 3619836 3621145 3621145 3622454 3623762  | StartR_sd: 3701  | flk_dist_stat: 2060 2060 2060 2060 2060 2060	StartL_stat: 3621745 3623847 3624894 3625806 3627252 3631197  | StartL_sd: 2650  | StartR_stat: 3619577 3621679 3622726 3623638 3625084 3629029  | StartR_sd: 2650  | flk_dist_stat: 2060 2060 2060 2060 2060 2060	mv&flp	StartL_stat: 3621710 3623258 3624827 3624979 3625942 3630152  | StartL_sd: 2297  | StartR_stat: 431733 431779 431780 432365 432828 434927  | StartR_sd: 890  | flk_dist_stat: 3188703 3190833 3191894 3192431 3193437 3198187	StartL_stat: 3621771 3622550 3623330 3623330 3624109 3624888  | StartL_sd: 2204  | StartR_stat: 431779 431779 431780 431780 431780 431780  | StartR_sd: 1  | flk_dist_stat: 3189809 3190588 3191367 3191367 3192146 3192925	inversion
kmer995	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 3621710 3623258 3624827 3624979 3625942 3630152  | StartL_sd: 2297  | StartR_stat: 3619547 3621095 3622664 3622777 3623774 3627989  | StartR_sd: 2270  | flk_dist_stat: 2055 2055 2055 2094 2055 3104	StartL_stat: 3621771 3622550 3623330 3623330 3624109 3624888  | StartL_sd: 2204  | StartR_stat: 3619608 3620387 3621166 3621166 3621946 3622725  | StartR_sd: 2204  | flk_dist_stat: 2055 2055 2055 2055 2055 2055	mv&flp	StartL_stat: 3620696 3622004 3623313 3623313 3624622 3625930  | StartL_sd: 3701  | StartR_stat: 431774 432036 432298 432298 432560 432822  | StartR_sd: 741  | flk_dist_stat: 3188739 3189786 3190832 3190832 3191878 3192925	StartL_stat: 3621745 3623847 3624894 3625806 3627252 3631197  | StartL_sd: 2650  | StartR_stat: 431772 431774 432295 432363 432822 433866  | StartR_sd: 659  | flk_dist_stat: 3189789 3191884 3192413 3193260 3194505 3198190	inversion
kmer9949	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 3621657 3623205 3624774 3624926 3625889 3630099  | StartL_sd: 2297  | StartR_stat: 3619547 3621095 3622664 3622777 3623774 3627989  | StartR_sd: 2270  | flk_dist_stat: 2055 2055 2055 2094 2055 3104	StartL_stat: 3621718 3622497 3623276 3623276 3624056 3624835  | StartL_sd: 2204  | StartR_stat: 3619608 3620387 3621166 3621166 3621946 3622725  | StartR_sd: 2204  | flk_dist_stat: 2055 2055 2055 2055 2055 2055	mv&flp	StartL_stat: 3620643 3621952 3623260 3623260 3624568 3625877  | StartL_sd: 3701  | StartR_stat: 431774 432036 432298 432298 432560 432822  | StartR_sd: 741  | flk_dist_stat: 3188686 3189732 3190779 3190779 3191826 3192872	StartL_stat: 3621692 3623794 3624840 3625753 3627198 3631144  | StartL_sd: 2650  | StartR_stat: 431772 431774 432295 432363 432822 433866  | StartR_sd: 659  | flk_dist_stat: 3189736 3191831 3192360 3193207 3194452 3198137	inversion
kmer9939	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 431907 432169 432431 432431 432693 432955  | StartL_sd: 741  | StartR_stat: 429721 429983 430245 430245 430507 430769  | StartR_sd: 741  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	StartL_stat: 431905 431907 432428 432496 432955 433999  | StartL_sd: 659  | StartR_stat: 429719 429721 430242 430310 430769 431813  | StartR_sd: 659  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	mv&flp	StartL_stat: 3619414 3620962 3622531 3622644 3623642 3627856  | StartL_sd: 2270  | StartR_stat: 429675 429721 429722 430307 430770 432869  | StartR_sd: 890  | flk_dist_stat: 3188648 3190778 3191839 3192337 3193382 3198132	StartL_stat: 3619475 3620254 3621034 3621034 3621813 3622592  | StartL_sd: 2204  | StartR_stat: 429721 429721 429722 429722 429722 429722  | StartR_sd: 1  | flk_dist_stat: 3189754 3190533 3191312 3191312 3192091 3192870	inversion
kmer9929	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 1492825 1493347 1493898 1494517 1494948 1498110  | StartL_sd: 1578  | StartR_stat: 1501968 1502495 1503046 1503665 1504096 1507258  | StartR_sd: 1579  | flk_dist_stat: 9012 9017 9017 9016 9017 9027	StartL_stat: 1493895 1493901 1493908 1493908 1493914 1493920  | StartL_sd: 18  | StartR_stat: 1503043 1503049 1503056 1503056 1503062 1503068  | StartR_sd: 18  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	mv&flp	StartL_stat: 2556412 2558248 2560084 2560084 2561921 2563757  | StartL_sd: 5194  | StartR_stat: 1553783 1554305 1554828 1554828 1555350 1555872  | StartR_sd: 1477  | flk_dist_stat: 1002446 1003760 1005074 1005074 1006388 1007702	StartL_stat: 2559564 2560612 2561658 2562312 2563754 2565861  | StartL_sd: 1984  | StartR_stat: 1554821 1554830 1555870 1556263 1557178 1559013  | StartR_sd: 1475  | flk_dist_stat: 1004555 1005598 1005604 1005866 1006647 1007703	inversion
